path,berv,obs_key,order_index
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord036.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,36
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord037.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,37
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord038.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,38
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord039.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,39
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord040.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,40
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord041.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,41
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord042.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,42
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord043.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,43
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord044.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,44
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord045.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,45
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord046.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,46
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord047.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,47
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord048.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,48
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord049.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,49
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord050.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,50
./order1d_carmenes/car-20190702T20h55m22s-sci-amap-vis_A_ord051.fits,3907.8140000000003,car-20190702T20h55m22s-sci-amap-vis_A,51
